Date,Open,High,Low,Close,Adj Close,Volume
01-01-2015,1283.5,1283.5,1270.5,1272.780029,1100.664063,366830
02-01-2015,1275.5,1295.469971,1275.300049,1289.719971,1115.313232,925740
05-01-2015,1290.5,1299.949951,1262.319946,1270.119995,1098.363892,1754242
06-01-2015,1264.550049,1264.550049,1220,1223.300049,1057.875244,2423784
07-01-2015,1235,1239.569946,1203.719971,1208.849976,1045.379272,2636332
08-01-2015,1221.199951,1224.5,1210.280029,1221.900024,1056.664307,1565408
09-01-2015,1227.5,1259.949951,1225,1256.150024,1086.282715,3197642
12-01-2015,1258.5,1264,1240.119995,1254.849976,1085.158691,1596006
13-01-2015,1260,1265.199951,1240.050049,1248.949951,1080.056274,1468432
14-01-2015,1258,1265.900024,1250.25,1260.969971,1090.450806,1787096
15-01-2015,1266.5,1290.880005,1261.619995,1269.550049,1097.87085,5009920
16-01-2015,1271.849976,1272.5,1242.150024,1266.069946,1094.861206,5293830
19-01-2015,1268,1275.5,1251.5,1255.5,1085.721069,1135074
20-01-2015,1260,1265,1241.619995,1250.219971,1081.154907,2058566
21-01-2015,1261,1261,1244.119995,1256.900024,1086.931396,2310480
22-01-2015,1258.25,1260.619995,1247.75,1256.780029,1086.827637,2113214
23-01-2015,1257,1266.030029,1248.050049,1251.800049,1082.52124,3150380
27-01-2015,1256.180054,1257.5,1244.780029,1251.030029,1086.19397,2738736
28-01-2015,1251.5,1272.449951,1251.449951,1269.800049,1102.490479,3121980
29-01-2015,1269,1284.349976,1256.449951,1272.319946,1104.678345,3734392
30-01-2015,1280.349976,1287.5,1235,1241.030029,1077.511353,5817402
02-02-2015,1241,1260.719971,1231.030029,1257.099976,1091.463989,3181802
03-02-2015,1255.819946,1282.5,1253.550049,1279.119995,1110.582397,2345054
04-02-2015,1284,1285.849976,1251.050049,1257.150024,1091.507324,2245418
05-02-2015,1260,1295.849976,1259.5,1276.199951,1108.047119,4530168
06-02-2015,1276.5,1297.400024,1275.430054,1287.880005,1118.188599,2136416
09-02-2015,1280.75,1284.550049,1250,1256.449951,1090.899414,2076432
10-02-2015,1255,1263.119995,1216.5,1220.569946,1059.746948,3799054
11-02-2015,1227.530029,1243.619995,1223.619995,1229.949951,1067.890991,2937522
12-02-2015,1239.900024,1239.900024,1223.5,1231.069946,1068.863281,3107980
13-02-2015,1235,1273.880005,1230.119995,1269.380005,1102.12561,4158326
16-02-2015,1280,1297.5,1277.5,1292.400024,1122.112793,2364392
18-02-2015,1292.530029,1321.5,1282.619995,1317.819946,1144.183228,2660014
19-02-2015,1318,1343.650024,1317.5,1340.530029,1163.901367,2618002
20-02-2015,1349.400024,1349.400024,1321.119995,1337.780029,1161.513306,1801588
23-02-2015,1335.5,1361,1335.5,1348.319946,1170.664551,1614892
24-02-2015,1347,1365,1339.5,1352.380005,1174.189697,2199922
25-02-2015,1355,1361,1333.930054,1336.099976,1160.055054,1767994
26-02-2015,1339.5,1346.380005,1312.680054,1328.219971,1153.212891,1991994
27-02-2015,1329.719971,1337.880005,1308.150024,1331.180054,1155.783203,2877376
28-02-2015,1328.92,1340.6,1313.12,1345.69,1180.34,2784629
02-03-2015,1339.849976,1354.469971,1326.280029,1334.699951,1158.839355,2176038
03-03-2015,1341,1395,1338.069946,1388,1205.116333,3424308
04-03-2015,1394,1406.050049,1357.819946,1373,1192.093018,3862994
05-03-2015,1375,1385.349976,1340.530029,1348.219971,1170.577759,2173514
09-03-2015,1320,1339.900024,1305,1323.400024,1149.028198,2883174
10-03-2015,1324.449951,1339.119995,1297.619995,1321.349976,1147.248413,3037052
11-03-2015,1321,1329.969971,1298.900024,1303.280029,1131.559448,2240200
12-03-2015,1311.949951,1312.449951,1295.050049,1309.530029,1136.985718,1827636
13-03-2015,1319,1319.969971,1287.5,1291.180054,1121.053589,1586838
16-03-2015,1292.599976,1305,1276,1281.150024,1112.345093,1556296
17-03-2015,1291.25,1303.349976,1278.880005,1291.849976,1121.634888,1267318
